groupe,question,answer,compteur,date_derniere_question
bash,cmd pour connaitre qui je suis ?,whoami,0,2025-02-21 10:46:34
bash,cmd pour savoir où je suis ?,pwd,0,2025-02-21 10:46:41
bash,cmd pour connaitre le contenu du répertoire dans lequel je suis ?,ls,0,2025-02-24 21:27:14
bash,cmd pour connaitre le contenu du répertoire y compris les fichiers cachés ?,ls -a | -a signifie 'all',0,2025-02-25 10:19:48
bash,cmd pour entrer dans son répertoire personnel ?,cd,0,2025-02-24 21:25:42
bash,cmd pour remonter dans le répertoire précédent ?,cd ..,0,2025-02-25 10:22:03
bash,cmd pour entrer dans le répertoire home ?,cd home ou cd /home,0,2025-02-25 10:22:20
bash,cmd pour revenir dans le répertoire où nous étions précedement ?,cd -,0,2025-02-26 10:37:17
bash,cmd pour imprimer 'Hello World !'?,echo 'Hello World !',0,2025-02-25 10:22:09
bash,cmd pour montrer le chemin du répertoire home ?,echo $HOME,0,2025-02-27 10:51:18
bash,cmd pour créer le nouvel utilisateur 'eleonore' ?,sudo useradd -m 'eleonore' | le '-m' signifie create home directory et indique à la cmd useradd de créer un répertoire,0,2025-02-25 10:19:37
bash,cmd pour accéder au répertoire racine / ?,cd /,0,2025-02-27 10:48:01
bash,cmd de chemin absolu pour accéder au répertoire de l'utilisateur eleonore ?,cd /home/eleonore  | cd signifie 'change directory',0,2025-02-26 10:36:37
bash,cmd pour installer vim ?,sudo apt install vim,0,2025-02-26 10:35:14
bash,vim - comment insérer du texte ?,taper 'i',0,2025-02-25 10:23:29
bash,vim - comment quitter le mode insert ?,touche 'ESC',0,2025-02-26 10:36:57
bash,vim - comment enregister le fichier ?,:w,0,2025-02-25 10:23:36
bash,vim - comment quitter vim ?,:q,0,2025-02-25 10:23:47
bash,vim - comment quitter vim sans garder les modifications ?,:q!,0,2025-02-25 10:23:58
bash,vim - comment enregistrer les saisies et quitter vim ?,:wq ou :x,0,2025-02-26 10:32:15
bash,vim - comment chercher le mot 'elephant' dans le document ?,1)quitter insertion 2)/elephant 3)n pour le mot suivant et N pour le précédent,0,2025-03-06 15:19:19
bash,vim - comment copier /coller une ligne ?,1)sélectionner la ligne (V) 2)y 3)p,0,2025-03-06 16:00:44
bash,vim - comment couper /coller une ligne ?,1)sélectionner la ligne (V) 2)d 3)p,0,2025-02-25 10:20:06
bash,vim - comment sélectionner une ligne ?,1)quitter insertion 2)se placer sur la ligne 3)V,0,2025-03-03 10:24:38
bash,vim - cmd pour créer le fichier 'data_science' qui sera en python ?,vim data_science.py,0,2025-03-05 09:56:47
bash,cmd pour créer les fichiers file_1.txt et file_2.py ?,touch file_1.txt file_2.py,0,2025-03-05 09:57:01
bash,cmd pour créer 7 fichiers fileday1 à fileday7 ?,touch fileday{1..7},0,2025-02-25 10:24:15
bash,Quel changement entraine la fonction 'touch' sur un fichier existant ?,la cmd 'touch' modifie le timestamp du fichier,0,2025-02-21 10:46:06
bash,cmd pour créer un fichier file.txt avec comme première ligne 'Hello World !' ?,echo 'Hello World' > file.txt,0,2025-03-03 10:22:36
bash,cmd pour ajouter une ligne 'bonjour Tony' dans un fichier file.txt existant ?,echo 'bonjour Tony' >> file.txt,0,2025-02-27 10:48:17
bash,cmd pour voir le contenu du fichier file_prg.py sans utiliser vim ?,cat file_prg.py,0,2025-02-27 10:50:31
bash,cmd pour supprimer les fichiers file1.txt et file2.py ?,rm file1.txt file2.py,0,2025-02-26 10:35:00
bash,cmd pour supprimer les fichiers fileday1.txt à fileday7.txt rapidement ?,rm fileday{1..7}.txt,0,2025-02-26 10:36:48
bash,cmd pour supprimer avec une demande de confirmation les fichiers file1.txt et file2.py?,rm -i file1.txt file2.py,0,2025-03-05 09:57:22
bash,cmd pour créer un dossier folder1 et folder2 ?,mkdir folder1 folder2,0,2025-02-26 10:34:48
bash,cmd pour créer une série de dossiers folder1 à folder7 ?,mkdir folder{1..7},0,2025-02-21 10:46:23
bash,cmd pour voir apparaitre la liste des sous-dossiers du dossier home et ainsi compléter ma cmd ?,taper 'cd /home/' + double Tab,0,2025-03-04 18:27:52
bash,cmd pour supprimer le dossier et son contenu 'folder_py' ?,rm -r folder_py,0,2025-03-04 18:28:07
bash,cmd pour supprimer le dossier et son contenu avec une confirmation 'folder_py' ?,rm -ri folder_py,0,2025-03-03 10:23:39
bash,cmd pour copier dans le dossier eleonore le fichier 'script.sh' ?,cp script.sh /home/eleonore,0,2025-02-26 10:37:10
bash,cmd pour copier le dossier et son contenu 'folder_inutile' dans le dossier eleonore ?,ep -r folder_inutile /home/eleonore  | -r signifie 'recursive' tous les fichiers et repertoires sont copiés.,0,2025-02-25 10:22:42
bash,cmd pour déplacer le fichier 'fly.py' vers le dossier eleonore ?,mv fly.py /home/eleonore,0,2025-02-27 10:50:50
bash,cmd pour déplacer le dossier 'flying_folder' vers le dossier eleonore ?,mv flying_folder /home/eleonore,0,2025-02-27 10:50:19
bash,cmd pour renommer le fichier 'pauvre.py' en 'riche.sh',mv pauvre.py riche.sh,0,2025-02-27 10:47:50
bash,cmd pour lister le répertoire détailler ?,ls -l,0,2025-03-04 18:28:33
bash,quelles sont les permissions des fichiers ou des répertoire et leurs codes respectifs ?,"w=write, r=read, x=execute",0,2025-03-03 10:22:19
bash,Expliquer la suite de lettres qui apparait dans la première colonne avec la cmd 'ls -l' ?,le type / propriétaire(rwx) / groupe(rwx) / autres utilisateurs(rwx),0,2025-03-05 09:57:45
bash,quel type de fichier a pour extension 'sh' et 'py' ?,sh pour bash et py pour python,0,2025-03-03 10:23:17
bash,cmd pour connaitre le chemin vers bash?,which bash,0,2025-03-04 18:28:58
bash,"dans un fichier bash, quelle est la première ligne à inscrire?",la première ligne est le chemin vers bash '#!/bin/bash',0,2025-02-26 10:37:39
bash,cmd pour donner le droit d'exécuter le fichier 'script.sh' à l'utilisateur ?,chmod u+x script.sh,0,2025-03-06 15:18:29
bash,cmd pour retirer le droit de lire le fichier 'livre.py' au groupe ?,chmod g-r livre.py,0,2025-03-05 09:55:07
bash,cmd pour donner le droit d'écrire dans le fichier 'book.sh' aux autre utilisateurs ?,chmod o+w book.sh,0,2025-02-27 10:47:12
bash,cmd pour retirer les droits d'executer le fichier 'atomic.xl' à tout le monde ?,chmod -x atomic.xl,0,2025-02-26 10:36:21
bash,cmd pour lancer le programme 'rocket.sh' ?,'./ rocket.sh' ou 'bash rocket.sh',0,2025-03-06 15:18:44
bash,cmd pour lancer le programme 'fusee.py' ?,python3 fusee.py,0,2025-03-05 09:56:33
bash,cmd pour connaitre la version de python3 ?,python3 -V,0,2025-03-05 09:54:52
bash,cmd pour connaitre le chemin de python3 ?,which python3,0,2025-03-03 10:23:53
bash,cmd pour vérifier s'il existe d'autres versions de python ?,ls -lht python*,0,2025-03-03 10:21:49
bash,cmd pour lancer le fichier fusee.py avec python 3.6 ?,python3.6 fusee.py,0,2025-03-03 10:24:02
